epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,334.39,0.47032,0.33931,0.90449,0.96456,0.93784,0.95374,0.79869,0.6068,0.33688,0.91298,0.0095941,0.0095941,0.0095941
43,341.687,0.46914,0.33493,0.90088,0.96687,0.95745,0.9712,0.84861,0.48077,0.3062,0.8953,0.0095842,0.0095842,0.0095842
44,348.981,0.47663,0.3358,0.89641,0.97628,0.95951,0.96992,0.84406,0.48568,0.30526,0.89037,0.0095743,0.0095743,0.0095743
45,356.173,0.48539,0.34004,0.90049,0.98217,0.95098,0.9741,0.86515,0.45715,0.30477,0.88494,0.0095644,0.0095644,0.0095644
46,363.461,0.48083,0.33636,0.90535,0.97046,0.92742,0.95746,0.786,0.65743,0.36069,0.91474,0.0095545,0.0095545,0.0095545
47,370.665,0.47628,0.33642,0.89891,0.9823,0.94963,0.97082,0.85031,0.47694,0.29521,0.8788,0.0095446,0.0095446,0.0095446
48,378.121,0.46796,0.32779,0.89505,0.96695,0.93093,0.96165,0.85069,0.44025,0.32467,0.87875,0.0095347,0.0095347,0.0095347
49,385.437,0.47265,0.32985,0.90857,0.96406,0.94827,0.96695,0.83933,0.50097,0.30027,0.88633,0.0095248,0.0095248,0.0095248
50,392.933,0.4725,0.32094,0.90418,0.97597,0.94932,0.97195,0.85892,0.43578,0.29044,0.87973,0.0095149,0.0095149,0.0095149
51,400.186,0.48403,0.34033,0.90123,0.97925,0.9455,0.97027,0.85603,0.46032,0.29926,0.88196,0.009505,0.009505,0.009505
52,407.716,0.46609,0.31782,0.90362,0.99226,0.94593,0.97241,0.85492,0.45158,0.30287,0.88512,0.0094951,0.0094951,0.0094951
53,415.02,0.47275,0.32786,0.90085,0.98479,0.94712,0.9736,0.83487,0.54154,0.32768,0.89189,0.0094852,0.0094852,0.0094852
54,422.56,0.47976,0.33106,0.89443,0.9886,0.94613,0.97399,0.85355,0.49517,0.30464,0.88248,0.0094753,0.0094753,0.0094753
55,430.107,0.46855,0.32873,0.89683,0.96867,0.93141,0.96,0.84147,0.49754,0.30205,0.8969,0.0094654,0.0094654,0.0094654
56,438.116,0.46149,0.32109,0.89433,0.98969,0.9524,0.97216,0.84942,0.49626,0.30748,0.89269,0.0094555,0.0094555,0.0094555
57,446.129,0.46107,0.32313,0.89656,0.98023,0.9585,0.97305,0.84557,0.49615,0.29219,0.89236,0.0094456,0.0094456,0.0094456
58,453.844,0.45408,0.30718,0.89625,0.98574,0.94613,0.97593,0.86316,0.44168,0.27711,0.88149,0.0094357,0.0094357,0.0094357
59,461.524,0.44983,0.30778,0.89389,0.97132,0.9524,0.97001,0.85232,0.47343,0.29815,0.8859,0.0094258,0.0094258,0.0094258
60,469.055,0.4464,0.3128,0.88832,0.96303,0.95706,0.96702,0.83452,0.50885,0.3213,0.89016,0.0094159,0.0094159,0.0094159
61,476.66,0.46469,0.32636,0.90416,0.98225,0.94807,0.97033,0.82331,0.58143,0.31879,0.89567,0.009406,0.009406,0.009406
62,484.297,0.44004,0.30031,0.88394,0.9919,0.95356,0.9728,0.84589,0.49318,0.29278,0.88592,0.0093961,0.0093961,0.0093961
63,491.785,0.44699,0.30744,0.88499,0.96445,0.9589,0.97422,0.86832,0.43881,0.27633,0.87093,0.0093862,0.0093862,0.0093862
64,499.49,0.45368,0.3123,0.88636,0.96296,0.94328,0.96919,0.8616,0.4264,0.29167,0.87288,0.0093763,0.0093763,0.0093763
65,507.041,0.45106,0.31037,0.89256,0.98546,0.9549,0.97586,0.86928,0.44621,0.28486,0.87116,0.0093664,0.0093664,0.0093664
66,514.464,0.45266,0.30264,0.88556,0.9781,0.95481,0.9691,0.83763,0.53481,0.30173,0.88842,0.0093565,0.0093565,0.0093565
67,521.727,0.44186,0.30876,0.88861,0.97773,0.95979,0.9695,0.84981,0.46438,0.30027,0.8828,0.0093466,0.0093466,0.0093466
68,529.129,0.45591,0.30399,0.89513,0.97776,0.95857,0.97209,0.85251,0.46011,0.29252,0.88751,0.0093367,0.0093367,0.0093367
69,536.527,0.46032,0.30889,0.89139,0.97476,0.95781,0.9726,0.86725,0.41923,0.26532,0.86928,0.0093268,0.0093268,0.0093268
70,544.037,0.45603,0.30563,0.89448,0.97843,0.96178,0.973,0.8662,0.43594,0.26938,0.87707,0.0093169,0.0093169,0.0093169
71,551.362,0.43666,0.29759,0.8792,0.97577,0.94447,0.96525,0.83207,0.50888,0.30895,0.88821,0.009307,0.009307,0.009307
72,558.752,0.43453,0.29691,0.88232,0.97038,0.95573,0.9682,0.85954,0.46247,0.27604,0.88189,0.0092971,0.0092971,0.0092971
73,566.108,0.45021,0.30771,0.89704,0.98014,0.95713,0.97872,0.85733,0.45994,0.28194,0.88193,0.0092872,0.0092872,0.0092872
74,573.495,0.42507,0.30013,0.88781,0.97959,0.95722,0.97555,0.86788,0.43034,0.28751,0.87588,0.0092773,0.0092773,0.0092773
75,581.319,0.46021,0.30695,0.89079,0.97281,0.94608,0.97477,0.86885,0.41796,0.28537,0.87078,0.0092674,0.0092674,0.0092674
76,588.884,0.43594,0.29559,0.87901,0.97884,0.94726,0.9733,0.85672,0.43487,0.31063,0.88211,0.0092575,0.0092575,0.0092575
77,596.486,0.43066,0.29802,0.88719,0.96816,0.94536,0.96778,0.84871,0.46676,0.28953,0.88207,0.0092476,0.0092476,0.0092476
78,604.033,0.45258,0.29933,0.89592,0.9727,0.96619,0.9765,0.85399,0.48165,0.26888,0.88219,0.0092377,0.0092377,0.0092377
79,611.477,0.43126,0.29022,0.88321,0.97888,0.95542,0.97771,0.86985,0.43688,0.27117,0.87058,0.0092278,0.0092278,0.0092278
80,618.905,0.44117,0.29855,0.88095,0.99287,0.96027,0.97725,0.87447,0.41296,0.26275,0.87746,0.0092179,0.0092179,0.0092179
81,626.551,0.44719,0.30002,0.89146,0.98264,0.95907,0.97449,0.86756,0.44952,0.27108,0.87693,0.009208,0.009208,0.009208
82,633.979,0.44768,0.3032,0.88838,0.98698,0.95341,0.97857,0.86623,0.40355,0.25911,0.87417,0.0091981,0.0091981,0.0091981
83,641.422,0.42224,0.28367,0.88301,0.98829,0.96054,0.97473,0.87179,0.39331,0.25129,0.87202,0.0091882,0.0091882,0.0091882
84,648.803,0.41938,0.28613,0.8783,0.99019,0.95012,0.97102,0.86288,0.41741,0.26894,0.8703,0.0091783,0.0091783,0.0091783
85,656.327,0.42295,0.28343,0.87904,0.98424,0.96082,0.974,0.85297,0.47175,0.27116,0.87307,0.0091684,0.0091684,0.0091684
86,663.691,0.43836,0.29422,0.88266,0.99033,0.9602,0.97455,0.85936,0.47095,0.27685,0.87096,0.0091585,0.0091585,0.0091585
87,670.994,0.43151,0.29397,0.88459,0.98736,0.95701,0.97173,0.87883,0.40189,0.28132,0.86431,0.0091486,0.0091486,0.0091486
88,678.456,0.43205,0.29201,0.88504,0.98558,0.95123,0.97311,0.86576,0.42207,0.27373,0.87969,0.0091387,0.0091387,0.0091387
89,685.996,0.4199,0.28713,0.88669,0.98121,0.95236,0.97198,0.87268,0.41672,0.27122,0.86964,0.0091288,0.0091288,0.0091288
90,693.338,0.42604,0.28367,0.88038,0.98534,0.96409,0.97519,0.8722,0.43501,0.2628,0.87186,0.0091189,0.0091189,0.0091189
91,700.975,0.41981,0.28412,0.87822,0.99084,0.95406,0.97383,0.83294,0.5709,0.29556,0.89395,0.009109,0.009109,0.009109
92,708.198,0.42948,0.28768,0.8823,0.99256,0.95885,0.9752,0.85203,0.48218,0.2721,0.87672,0.0090991,0.0090991,0.0090991
93,715.572,0.42943,0.28859,0.88355,0.98774,0.95172,0.97247,0.87796,0.41903,0.27219,0.87406,0.0090892,0.0090892,0.0090892
94,722.984,0.42312,0.28443,0.88142,0.98802,0.95796,0.97158,0.86431,0.44156,0.28267,0.8771,0.0090793,0.0090793,0.0090793
95,730.308,0.42746,0.28976,0.87932,0.984,0.93712,0.96859,0.86894,0.41405,0.28159,0.86757,0.0090694,0.0090694,0.0090694
96,737.609,0.40724,0.27442,0.86764,0.98579,0.95831,0.97556,0.88592,0.37839,0.24641,0.86428,0.0090595,0.0090595,0.0090595
97,744.995,0.42474,0.28726,0.8917,0.97416,0.94344,0.97348,0.85882,0.42439,0.27667,0.88404,0.0090496,0.0090496,0.0090496
98,752.342,0.41965,0.29205,0.88007,0.98486,0.95113,0.97448,0.86093,0.4762,0.26573,0.87919,0.0090397,0.0090397,0.0090397
99,759.808,0.4186,0.27794,0.87707,0.98951,0.96479,0.97655,0.84304,0.53313,0.28552,0.88613,0.0090298,0.0090298,0.0090298
100,767.182,0.4329,0.29326,0.89756,0.94727,0.93538,0.97011,0.86322,0.45759,0.30374,0.8657,0.0090199,0.0090199,0.0090199
101,774.557,0.41302,0.27978,0.88087,0.98664,0.95822,0.97521,0.87371,0.41625,0.26836,0.86269,0.00901,0.00901,0.00901
102,782.039,0.41395,0.27477,0.87666,0.98967,0.95032,0.9742,0.86904,0.41105,0.26916,0.86928,0.0090001,0.0090001,0.0090001
103,789.482,0.40578,0.28545,0.8658,0.98474,0.94524,0.97086,0.87486,0.4049,0.27413,0.87094,0.0089902,0.0089902,0.0089902
104,796.826,0.42323,0.27878,0.87619,0.9874,0.92671,0.97093,0.88071,0.38751,0.25509,0.86367,0.0089803,0.0089803,0.0089803
105,804.189,0.42387,0.28481,0.87789,0.99214,0.96118,0.97688,0.87915,0.40003,0.24907,0.87486,0.0089704,0.0089704,0.0089704
106,811.602,0.41971,0.28382,0.87375,0.97726,0.96144,0.97589,0.87325,0.43706,0.25039,0.87179,0.0089605,0.0089605,0.0089605
107,818.953,0.41112,0.27836,0.87191,0.98749,0.95259,0.97294,0.8712,0.39048,0.25196,0.87566,0.0089506,0.0089506,0.0089506
108,826.387,0.43125,0.28711,0.8934,0.98878,0.96084,0.97227,0.86252,0.44414,0.26441,0.88794,0.0089407,0.0089407,0.0089407
109,833.93,0.41274,0.2816,0.8823,0.99073,0.95395,0.97174,0.87123,0.39871,0.24698,0.87046,0.0089308,0.0089308,0.0089308
110,841.38,0.41447,0.27534,0.87693,0.9864,0.96071,0.97206,0.87325,0.41781,0.25657,0.87481,0.0089209,0.0089209,0.0089209
111,848.616,0.41486,0.27821,0.8794,0.98806,0.95724,0.97402,0.87206,0.44345,0.26092,0.88,0.008911,0.008911,0.008911
112,855.923,0.41292,0.27839,0.88017,0.98795,0.96096,0.9749,0.87733,0.40187,0.249,0.88277,0.0089011,0.0089011,0.0089011
113,863.291,0.41515,0.27994,0.88439,0.98567,0.95329,0.97293,0.87846,0.39319,0.25832,0.88312,0.0088912,0.0088912,0.0088912
114,870.61,0.40301,0.27611,0.87819,0.98389,0.95505,0.97527,0.87648,0.41923,0.25341,0.88129,0.0088813,0.0088813,0.0088813
115,878.115,0.40421,0.27043,0.87298,0.98768,0.96211,0.97481,0.87281,0.44536,0.26002,0.88394,0.0088714,0.0088714,0.0088714
116,885.529,0.40315,0.27274,0.87605,0.983,0.96046,0.97198,0.87515,0.39906,0.24841,0.87648,0.0088615,0.0088615,0.0088615
